aX,aY,aZ,gX,gY,gZ
0.701,-0.848,0.418,46.809,-87.662,66.476
0.691,-0.858,0.409,46.615,-83.685,65.023
0.676,-0.863,0.402,46.753,-78.756,63.628
0.659,-0.863,0.395,46.835,-73.460,62.224
0.643,-0.861,0.390,46.618,-67.809,60.764
0.629,-0.859,0.388,46.013,-61.885,59.275
0.618,-0.857,0.389,45.004,-56.024,57.802
0.607,-0.854,0.391,43.345,-50.533,56.316
0.597,-0.850,0.394,40.874,-45.622,54.742
0.586,-0.849,0.398,37.893,-41.505,53.130
0.578,-0.848,0.402,34.902,-37.976,51.595
0.570,-0.848,0.405,32.195,-34.988,50.210
0.562,-0.848,0.407,30.047,-32.479,48.976
0.556,-0.848,0.407,28.349,-30.368,47.800
0.549,-0.847,0.405,26.994,-28.588,46.676
0.542,-0.847,0.402,25.883,-27.231,45.584
0.535,-0.847,0.399,24.910,-26.162,44.502
0.529,-0.847,0.394,24.021,-25.351,43.420
0.523,-0.847,0.390,23.249,-24.762,42.305
0.517,-0.848,0.387,22.633,-24.352,41.152
0.511,-0.849,0.384,22.157,-24.067,40.019
0.507,-0.851,0.381,21.778,-23.871,38.911
0.502,-0.851,0.380,21.444,-23.779,37.834
0.497,-0.852,0.378,21.108,-23.722,36.861
0.492,-0.853,0.377,20.776,-23.675,36.000
0.486,-0.854,0.376,20.421,-23.609,35.226
0.481,-0.854,0.375,20.061,-23.528,34.532
0.475,-0.855,0.373,19.666,-23.415,33.904
0.470,-0.855,0.371,19.232,-23.228,33.302
0.464,-0.855,0.368,18.747,-22.990,32.697
0.459,-0.855,0.364,18.219,-22.713,32.059
0.454,-0.855,0.360,17.574,-22.381,31.360
0.449,-0.855,0.355,16.815,-22.002,30.631
0.445,-0.855,0.351,16.020,-21.586,29.888
0.441,-0.856,0.347,15.201,-21.090,29.163
0.437,-0.856,0.345,14.428,-20.706,28.042
0.433,-0.855,0.343,13.545,-20.207,27.224
0.430,-0.857,0.343,12.682,-19.673,26.576
0.427,-0.858,0.343,12.081,-19.238,25.869
0.423,-0.858,0.344,11.483,-18.858,25.244
0.419,-0.859,0.344,10.922,-18.555,24.603
0.415,-0.858,0.346,10.398,-18.349,23.940
0.411,-0.858,0.346,9.842,-18.198,23.304
0.408,-0.858,0.347,9.310,-18.069,22.663
0.405,-0.858,0.347,8.807,-17.969,21.985
0.401,-0.858,0.347,8.298,-17.904,21.305
0.399,-0.859,0.346,7.841,-17.847,20.495
0.396,-0.860,0.345,7.340,-17.793,19.659
0.394,-0.861,0.344,6.738,-17.715,18.825
0.392,-0.862,0.342,6.155,-17.592,18.060
0.391,-0.865,0.341,5.670,-17.405,17.470
0.390,-0.867,0.338,5.390,-17.098,16.978
0.389,-0.868,0.337,5.129,-16.674,16.615
0.388,-0.869,0.336,4.789,-16.230,16.328
0.386,-0.871,0.334,4.476,-15.811,16.089
0.385,-0.873,0.333,4.233,-15.421,15.865
0.384,-0.875,0.333,3.991,-15.077,15.640
0.382,-0.877,0.333,3.675,-14.817,15.411
0.380,-0.878,0.333,3.294,-14.642,15.160
0.378,-0.879,0.333,2.881,-14.528,14.869
0.376,-0.880,0.333,2.474,-14.465,14.518
0.373,-0.881,0.333,2.076,-14.430,14.066
0.371,-0.882,0.333,1.696,-14.404,13.499
0.369,-0.883,0.333,1.322,-14.363,12.817
0.367,-0.885,0.333,0.976,-14.294,12.023
0.365,-0.886,0.334,0.622,-14.175,11.221
0.363,-0.887,0.334,0.267,-14.012,10.448
0.362,-0.888,0.335,-0.165,-13.729,9.715
0.361,-0.889,0.336,-0.636,-13.351,9.023
0.360,-0.890,0.338,-1.138,-12.907,8.351
0.360,-0.891,0.339,-1.686,-12.420,7.666
0.359,-0.892,0.340,-2.256,-11.905,6.989
0.359,-0.893,0.341,-2.817,-11.405,6.311
0.358,-0.895,0.341,-3.313,-10.955,5.639
0.358,-0.897,0.340,-3.741,-10.581,5.006
0.357,-0.898,0.337,-4.072,-10.232,4.415
0.357,-0.899,0.335,-4.360,-9.862,3.849
0.357,-0.901,0.332,-4.619,-9.453,3.321
0.358,-0.902,0.330,-4.790,-9.086,2.863
0.358,-0.902,0.328,-4.833,-8.754,2.441

0.561,-1.174,0.169,-2.683,17.713,-2.102
0.792,-0.985,0.614,-4.074,147.236,-0.594
0.756,-0.929,0.675,-4.472,144.425,-4.077
0.698,-0.929,0.720,-1.450,140.203,-0.342
0.662,-0.933,0.750,-1.664,136.009,3.889
0.631,-0.937,0.766,-1.204,123.548,3.937
0.598,-0.927,0.756,-0.634,110.844,4.112
0.579,-0.938,0.734,-0.274,99.916,5.931
0.575,-0.942,0.709,0.283,91.297,8.389
0.566,-0.935,0.685,0.660,84.961,10.150
0.549,-0.930,0.667,0.707,78.795,11.106
0.530,-0.923,0.655,0.545,72.278,11.376
0.512,-0.910,0.645,-0.183,66.020,11.136
0.496,-0.902,0.637,-1.129,60.254,10.658
0.483,-0.901,0.630,-1.882,55.145,10.074
0.473,-0.903,0.618,-2.474,50.923,9.467
0.463,-0.906,0.608,-2.891,47.599,8.939
0.454,-0.912,0.596,-3.000,45.229,8.549
0.445,-0.917,0.583,-2.757,43.550,8.245
0.435,-0.918,0.569,-2.155,42.056,7.914
0.425,-0.916,0.557,-1.608,40.785,7.466
0.414,-0.913,0.546,-1.298,39.707,6.856
0.404,-0.910,0.538,-1.257,38.773,6.072
0.396,-0.906,0.532,-1.533,37.829,5.139
0.387,-0.903,0.527,-2.118,36.820,4.061
0.380,-0.902,0.524,-3.040,35.723,2.880
0.374,-0.901,0.522,-4.062,34.534,1.712
0.369,-0.902,0.519,-5.077,33.261,0.614
0.365,-0.903,0.516,-6.005,31.979,-0.368
0.362,-0.904,0.512,-6.827,30.719,-1.211
0.360,-0.906,0.507,-7.449,29.507,-1.861
0.358,-0.909,0.501,-7.850,28.369,-2.331
0.355,-0.911,0.494,-8.008,27.342,-2.618
0.353,-0.914,0.488,-7.974,26.417,-2.732
0.350,-0.916,0.482,-7.817,25.580,-2.675
0.346,-0.918,0.476,-7.567,24.796,-2.548
0.342,-0.918,0.472,-7.300,24.029,-2.388
0.337,-0.919,0.468,-7.048,23.256,-2.229
0.332,-0.919,0.465,-6.842,22.476,-2.086
0.326,-0.919,0.462,-6.694,21.680,-1.962
0.321,-0.919,0.460,-6.653,20.871,-1.882
0.315,-0.919,0.458,-6.692,20.047,-1.851
0.310,-0.919,0.456,-6.806,19.210,-1.895
0.304,-0.919,0.453,-6.989,18.398,-1.948
0.300,-0.918,0.450,-7.107,17.703,-1.873
0.296,-0.918,0.447,-7.222,16.918,-2.164
0.290,-0.917,0.443,-7.414,16.186,-2.351
0.287,-0.918,0.440,-7.650,15.614,-2.293
0.285,-0.919,0.436,-7.718,15.055,-2.269
0.281,-0.920,0.434,-7.703,14.485,-2.283
0.277,-0.921,0.431,-7.626,13.932,-2.288
0.274,-0.922,0.429,-7.487,13.379,-2.264
0.271,-0.923,0.428,-7.262,12.821,-2.275
0.268,-0.923,0.427,-7.066,12.279,-2.227
0.265,-0.924,0.426,-6.900,11.737,-2.164
0.263,-0.924,0.425,-6.754,11.178,-2.123
0.260,-0.924,0.424,-6.607,10.605,-2.086
0.258,-0.924,0.423,-6.441,10.036,-2.034
0.256,-0.925,0.421,-6.265,9.488,-1.949
0.254,-0.925,0.420,-6.077,8.976,-1.796
0.253,-0.925,0.418,-5.882,8.499,-1.602
0.251,-0.926,0.416,-5.687,8.049,-1.378
