aX,aY,aZ,gX,gY,gZ
-0.418,-0.929,-0.119,1.034,51.409,1.169
-0.419,-0.929,-0.121,1.402,50.335,1.250
-0.421,-0.928,-0.121,1.800,49.247,1.346
-0.422,-0.927,-0.122,2.177,48.140,1.460
-0.424,-0.926,-0.122,2.500,47.014,1.606
-0.425,-0.925,-0.121,2.661,45.864,1.805
-0.426,-0.924,-0.121,2.716,44.685,2.030
-0.428,-0.922,-0.121,2.664,43.477,2.263
-0.429,-0.922,-0.121,2.526,42.247,2.500
-0.429,-0.921,-0.121,2.342,41.005,2.728

-0.687,-0.711,-0.468,2.208,42.857,4.850
-0.691,-0.706,-0.479,2.279,44.359,6.900
-0.695,-0.702,-0.493,2.624,45.639,8.906
-0.699,-0.698,-0.508,3.231,46.898,10.952
-0.702,-0.693,-0.523,4.080,48.166,13.103
-0.707,-0.686,-0.537,5.001,49.259,15.394
-0.712,-0.677,-0.550,5.698,50.340,17.727
-0.715,-0.668,-0.558,6.039,52.329,20.296
-0.716,-0.659,-0.568,6.217,54.589,22.891
-0.718,-0.651,-0.578,6.211,56.796,25.177
-0.718,-0.643,-0.588,6.113,59.093,27.149
-0.718,-0.640,-0.600,6.085,61.119,28.593
-0.718,-0.637,-0.613,5.988,62.652,29.705
-0.717,-0.635,-0.627,5.628,63.685,30.511
-0.715,-0.633,-0.644,4.813,64.134,30.931
-0.712,-0.632,-0.662,3.486,64.064,30.967
-0.709,-0.633,-0.680,1.595,63.354,30.583
-0.703,-0.636,-0.698,-1.267,62.069,29.842
-0.699,-0.640,-0.715,-4.589,60.387,28.626
-0.692,-0.645,-0.729,-8.317,57.450,27.088
-0.685,-0.649,-0.741,-12.284,52.650,25.126
-0.679,-0.653,-0.751,-16.242,45.648,22.364
-0.673,-0.656,-0.760,-19.899,36.412,19.074
-0.666,-0.660,-0.769,-23.286,24.758,15.467
-0.659,-0.664,-0.776,-26.540,12.210,11.592
-0.653,-0.668,-0.782,-29.728,-1.030,6.975
-0.646,-0.671,-0.784,-32.984,-15.006,1.721
-0.639,-0.674,-0.785,-36.309,-29.454,-4.232
-0.630,-0.678,-0.784,-39.789,-44.524,-10.927
-0.621,-0.682,-0.783,-43.506,-59.271,-18.788
-0.611,-0.686,-0.782,-47.664,-73.360,-27.391
-0.599,-0.691,-0.779,-51.976,-86.961,-36.748
-0.586,-0.695,-0.773,-56.388,-100.153,-46.757
-0.572,-0.700,-0.766,-61.305,-113.686,-58.173
-0.557,-0.706,-0.754,-66.586,-128.326,-70.335
-0.538,-0.711,-0.737,-72.622,-143.051,-82.759
-0.516,-0.712,-0.719,-79.460,-154.940,-98.858
-0.492,-0.707,-0.703,-86.559,-164.221,-112.195
-0.474,-0.715,-0.690,-93.163,-176.052,-127.137
-0.452,-0.718,-0.674,-97.777,-186.093,-142.606
