aX,aY,aZ,gX,gY,gZ
-0.098,-0.997,0.213,-3.006,-2.134,-1.881
-0.098,-0.998,0.212,-3.361,-2.276,-2.006
-0.098,-0.998,0.210,-3.684,-2.461,-2.112
-0.098,-0.998,0.209,-3.962,-2.701,-2.205
-0.097,-0.998,0.209,-4.175,-2.955,-2.303
-0.097,-0.998,0.208,-4.345,-3.184,-2.372
-0.096,-0.999,0.208,-4.433,-3.415,-2.407
-0.096,-1.000,0.208,-4.491,-3.666,-2.426
-0.095,-1.001,0.208,-4.562,-3.928,-2.423
-0.094,-1.002,0.208,-4.700,-4.182,-2.421

0.786,-1.366,0.492,-28.583,2.378,-1.714
0.688,-1.669,0.459,6.242,4.397,-0.323
0.656,-1.724,0.470,100.682,5.854,3.989
0.608,-1.678,0.464,173.752,12.808,10.401
0.569,-1.559,0.437,182.431,21.246,19.450
0.546,-1.416,0.474,177.048,20.183,18.925
0.513,-1.354,0.473,137.402,11.812,2.661
0.481,-1.330,0.483,69.773,-3.016,-30.988
0.453,-1.341,0.476,-5.826,-17.020,-59.367
0.448,-1.377,0.463,-62.176,-22.287,-73.506
0.472,-1.406,0.434,-80.854,-19.453,-72.133
0.498,-1.495,0.433,-82.718,-6.246,-66.722
0.504,-1.525,0.408,-66.355,11.782,-59.593
0.489,-1.524,0.380,-35.898,27.148,-54.703
0.466,-1.505,0.355,-11.509,31.395,-50.555
0.435,-1.476,0.334,1.662,30.443,-47.574
0.404,-1.444,0.321,3.601,24.613,-45.776
0.380,-1.420,0.311,3.287,13.750,-44.441
0.364,-1.404,0.311,1.886,4.418,-42.767
0.360,-1.397,0.311,0.587,0.144,-40.505
0.359,-1.395,0.312,0.422,-0.390,-37.771
0.358,-1.394,0.311,2.531,0.644,-35.169
0.352,-1.387,0.307,6.546,2.584,-32.629
0.340,-1.375,0.303,11.161,4.033,-29.974
0.326,-1.358,0.298,15.006,4.732,-27.295
0.311,-1.340,0.293,17.572,4.848,-25.118
0.298,-1.321,0.289,18.565,4.631,-23.285
0.286,-1.304,0.284,18.886,4.302,-21.530
0.274,-1.289,0.279,18.971,4.067,-20.016
0.265,-1.276,0.278,18.883,4.491,-18.675
0.257,-1.264,0.276,18.587,5.277,-17.351
0.246,-1.252,0.271,18.403,5.755,-16.074
0.235,-1.241,0.268,18.214,5.769,-14.838
0.223,-1.231,0.265,17.949,5.431,-13.600
0.212,-1.221,0.262,17.544,5.060,-12.438
0.203,-1.212,0.260,17.041,4.716,-11.423
0.195,-1.204,0.258,16.535,4.423,-10.696
0.187,-1.197,0.255,16.071,4.132,-10.129
0.179,-1.190,0.252,15.646,3.848,-9.687
0.172,-1.184,0.249,15.226,3.581,-9.331
0.165,-1.178,0.246,14.817,3.312,-9.038
0.158,-1.171,0.243,14.427,3.049,-8.813
0.152,-1.166,0.241,14.050,2.824,-8.596
0.146,-1.161,0.238,13.698,2.633,-8.366
0.140,-1.156,0.236,13.380,2.449,-8.058
0.135,-1.152,0.234,13.113,2.294,-7.736
0.130,-1.148,0.231,12.893,2.188,-7.436
0.126,-1.144,0.229,12.707,2.097,-7.166
0.121,-1.141,0.227,12.565,2.006,-6.876
0.117,-1.137,0.225,12.435,1.887,-6.600
0.113,-1.134,0.224,12.330,1.683,-6.364
0.108,-1.130,0.222,12.248,1.438,-6.155
0.104,-1.126,0.221,12.172,1.213,-5.338
0.101,-1.123,0.220,12.115,1.051,-5.176
0.097,-1.119,0.219,12.074,1.000,-5.007
