aX,aY,aZ,gX,gY,gZ
0.510,-0.145,0.880,-1.601,-0.807,-0.399
0.510,-0.145,0.879,-1.561,-0.798,-0.390
0.510,-0.145,0.879,-1.536,-0.805,-0.393
0.509,-0.146,0.879,-1.512,-0.842,-0.397
0.510,-0.146,0.878,-1.477,-0.850,-0.403
0.510,-0.147,0.878,-1.440,-0.824,-0.413
0.510,-0.147,0.878,-1.429,-0.774,-0.411
0.511,-0.147,0.878,-1.456,-0.721,-0.397
0.511,-0.147,0.878,-1.518,-0.656,-0.371
0.511,-0.148,0.879,-1.611,-0.582,-0.334
0.511,-0.148,0.879,-1.741,-0.510,-0.285
0.511,-0.149,0.880,-1.915,-0.451,-0.196
0.511,-0.150,0.880,-2.074,-0.379,-0.080
0.512,-0.150,0.881,-2.189,-0.279,0.049
0.512,-0.151,0.881,-2.243,-0.158,0.231

0.362,-0.168,1.376,-6.008,-18.952,-3.346
0.374,-0.172,1.392,-9.828,-34.416,-6.488
0.388,-0.179,1.406,-12.797,-46.954,-9.111
0.403,-0.185,1.418,-14.693,-56.270,-11.303
0.417,-0.190,1.428,-15.747,-63.545,-13.187
0.432,-0.194,1.434,-16.007,-69.120,-14.625
0.446,-0.198,1.439,-15.931,-73.300,-15.697
0.456,-0.199,1.443,-15.657,-76.406,-16.404
0.467,-0.199,1.448,-15.291,-78.871,-16.799
0.476,-0.198,1.453,-14.171,-80.687,-16.871
0.485,-0.198,1.459,-13.589,-82.138,-16.772
0.492,-0.197,1.463,-13.034,-83.054,-16.482
0.498,-0.194,1.465,-12.557,-83.456,-16.085
0.503,-0.192,1.465,-12.190,-83.549,-15.626
0.508,-0.189,1.464,-11.952,-83.171,-15.107
0.513,-0.186,1.461,-11.829,-82.437,-14.634
0.517,-0.183,1.457,-11.791,-81.312,-14.239
0.521,-0.180,1.451,-11.812,-79.959,-13.950
0.525,-0.178,1.444,-11.916,-78.437,-13.786
0.529,-0.177,1.435,-12.113,-76.804,-13.676
0.531,-0.175,1.425,-12.279,-75.141,-13.568
0.531,-0.174,1.416,-12.321,-73.585,-13.400
0.530,-0.173,1.408,-12.192,-72.170,-13.126
0.529,-0.173,1.401,-11.884,-70.846,-12.731
0.528,-0.172,1.394,-11.481,-69.541,-12.253
0.527,-0.172,1.385,-10.926,-68.272,-11.627
0.527,-0.170,1.375,-10.257,-66.972,-10.814
0.528,-0.168,1.364,-9.547,-65.584,-9.925
0.530,-0.165,1.354,-8.816,-64.125,-9.099
0.530,-0.162,1.343,-8.218,-62.627,-8.395
0.530,-0.159,1.329,-7.864,-61.069,-7.784
0.532,-0.156,1.319,-7.715,-59.501,-7.270
0.533,-0.154,1.308,-7.698,-57.964,-6.919
0.533,-0.150,1.298,-7.827,-56.462,-6.661
0.533,-0.147,1.289,-8.010,-55.004,-6.459
0.533,-0.146,1.279,-8.169,-53.602,-6.307
0.534,-0.144,1.270,-8.269,-52.261,-6.199
0.533,-0.143,1.261,-8.353,-51.008,-6.101
0.533,-0.143,1.251,-8.424,-49.837,-5.978
0.532,-0.142,1.241,-8.425,-48.719,-5.832
0.533,-0.142,1.230,-8.322,-47.610,-5.657
0.533,-0.141,1.220,-8.099,-46.508,-5.443
0.533,-0.140,1.210,-7.743,-45.382,-5.210
0.534,-0.140,1.200,-7.329,-44.236,-5.000
0.534,-0.139,1.190,-6.911,-43.078,-4.817
0.535,-0.137,1.181,-6.589,-41.937,-4.661
0.535,-0.136,1.173,-6.432,-40.829,-5.063
0.536,-0.135,1.165,-6.482,-39.749,-4.979
0.536,-0.134,1.157,-6.632,-38.704,-4.927
0.537,-0.133,1.150,-6.845,-37.712,-4.886
0.538,-0.133,1.143,-7.050,-36.764,-4.853
0.538,-0.134,1.136,-7.174,-35.838,-4.828
0.539,-0.134,1.127,-7.204,-34.917,-4.788
0.540,-0.135,1.119,-7.125,-33.988,-4.725
0.541,-0.135,1.110,-6.945,-33.061,-4.644
0.542,-0.135,1.102,-6.691,-32.145,-4.561
0.543,-0.135,1.094,-6.383,-31.201,-4.451
0.544,-0.135,1.087,-6.044,-30.264,-4.333
0.545,-0.135,1.080,-5.721,-29.354,-4.197
0.545,-0.134,1.074,-5.460,-28.478,-4.078
0.546,-0.134,1.068,-5.285,-27.637,-3.966
0.546,-0.135,1.063,-5.164,-26.831,-3.864
0.547,-0.136,1.059,-5.088,-26.095,-3.783
0.547,-0.136,1.054,-5.071,-25.412,-3.711
0.547,-0.137,1.049,-5.089,-24.762,-3.669
0.548,-0.138,1.044,-5.111,-24.134,-3.635
0.549,-0.138,1.038,-5.107,-23.500,-3.603
0.549,-0.138,1.031,-5.070,-22.856,-3.567
0.550,-0.138,1.025,-5.009,-22.186,-3.525
0.550,-0.137,1.018,-4.951,-21.501,-3.479
0.551,-0.137,1.012,-4.900,-20.807,-3.410
0.552,-0.137,1.006,-4.866,-20.079,-3.324
0.552,-0.137,1.002,-4.845,-19.354,-3.259
0.552,-0.137,0.997,-4.837,-18.662,-3.208
0.553,-0.138,0.993,-4.858,-18.016,-3.143
0.553,-0.138,0.989,-4.898,-17.427,-3.083
0.553,-0.139,0.986,-4.958,-16.893,-3.027
0.553,-0.140,0.982,-5.025,-16.412,-2.980
0.553,-0.141,0.978,-5.073,-15.974,-2.939
0.553,-0.142,0.974,-5.102,-15.568,-2.910
0.553,-0.142,0.970,-5.142,-15.176,-2.885
0.554,-0.142,0.964,-5.173,-14.762,-2.854
0.554,-0.142,0.959,-5.205,-14.312,-2.806
0.554,-0.142,0.955,-5.236,-13.829,-2.756
0.554,-0.143,0.951,-5.238,-13.344,-2.701
0.554,-0.143,0.947,-5.216,-12.864,-2.648
0.553,-0.144,0.944,-5.186,-12.412,-2.607
0.553,-0.144,0.941,-5.155,-12.005,-2.569
0.552,-0.145,0.939,-5.121,-11.645,-2.552
0.552,-0.145,0.936,-5.095,-11.326,-2.551
0.552,-0.147,0.934,-5.055,-11.053,-2.552
0.551,-0.148,0.932,-5.016,-10.825,-2.558
0.551,-0.148,0.929,-4.985,-10.620,-2.572
0.551,-0.149,0.927,-4.979,-10.441,-2.582
0.551,-0.149,0.924,-4.969,-10.259,-2.578
0.551,-0.149,0.920,-4.956,-10.034,-2.566
0.551,-0.149,0.917,-4.933,-9.728,-2.555
0.551,-0.150,0.915,-4.888,-9.386,-2.535
0.551,-0.150,0.912,-4.815,-9.034,-2.491
0.550,-0.150,0.911,-4.710,-8.681,-2.449
