aX,aY,aZ,gX,gY,gZ
-0.664,-0.677,-0.092,5.822,-1.974,2.197
-0.667,-0.677,-0.090,6.031,-2.523,2.406
-0.670,-0.677,-0.087,6.373,-3.059,2.588
-0.674,-0.677,-0.084,6.852,-3.527,2.777
-0.676,-0.677,-0.081,7.504,-3.877,2.966
-0.679,-0.676,-0.077,8.324,-4.099,3.141
-0.682,-0.676,-0.073,9.303,-4.172,3.264
-0.685,-0.674,-0.069,10.408,-4.085,3.320
-0.688,-0.672,-0.065,11.540,-3.841,3.302
-0.691,-0.670,-0.061,12.672,-3.464,3.197
-0.695,-0.666,-0.057,13.703,-3.042,3.018
-0.698,-0.662,-0.053,14.487,-2.588,2.667
-0.702,-0.658,-0.049,15.090,-2.115,2.148
-0.705,-0.654,-0.045,15.537,-1.634,1.465
-0.709,-0.650,-0.040,15.857,-1.164,0.608
-0.712,-0.646,-0.034,16.079,-0.678,-0.433
-0.716,-0.643,-0.028,16.264,-0.120,-1.718
-0.719,-0.641,-0.022,16.453,0.583,-3.139
-0.722,-0.638,-0.016,16.712,1.625,-4.662

0.271,-1.132,-0.533,12.462,-1.713,-2.842
0.283,-1.139,-0.540,8.064,-5.368,-1.003
0.296,-1.145,-0.549,3.949,-9.350,1.313
0.308,-1.152,-0.558,0.047,-13.802,4.152
0.321,-1.158,-0.566,-3.590,-18.775,7.827
0.332,-1.162,-0.572,-6.919,-24.545,12.074
0.337,-1.164,-0.579,-10.013,-31.430,16.964
0.344,-1.163,-0.584,-12.943,-38.972,22.475
0.347,-1.159,-0.589,-15.854,-47.079,27.927
0.349,-1.152,-0.593,-18.986,-55.548,33.156
0.349,-1.146,-0.597,-22.374,-64.260,37.951
0.347,-1.141,-0.601,-26.112,-72.973,42.133
0.344,-1.137,-0.604,-30.649,-81.293,45.769
0.340,-1.134,-0.607,-35.656,-89.408,49.029
0.336,-1.132,-0.610,-40.645,-97.657,51.960
0.330,-1.131,-0.609,-45.102,-106.294,54.657
0.323,-1.131,-0.608,-48.750,-114.849,57.397
0.313,-1.129,-0.603,-50.776,-123.311,60.282
0.301,-1.127,-0.596,-51.778,-131.572,63.350
0.287,-1.124,-0.588,-52.039,-139.231,66.659
0.271,-1.119,-0.577,-51.758,-146.343,70.196
0.253,-1.113,-0.562,-50.981,-152.943,73.554
0.234,-1.108,-0.548,-49.550,-158.477,76.790
0.215,-1.103,-0.531,-47.417,-163.414,79.876
0.194,-1.098,-0.511,-44.634,-167.390,82.855
0.173,-1.093,-0.489,-41.274,-170.475,86.014
0.150,-1.085,-0.466,-37.597,-172.700,89.413
0.126,-1.074,-0.441,-34.353,-173.968,92.929
0.101,-1.058,-0.415,-31.889,-174.446,96.396
0.073,-1.039,-0.388,-30.361,-174.700,99.474
0.044,-1.017,-0.362,-29.804,-174.896,101.570
0.014,-0.992,-0.337,-29.973,-175.042,102.906
-0.015,-0.967,-0.315,-30.617,-175.116,103.618
-0.041,-0.940,-0.290,-31.696,-174.967,103.865
-0.064,-0.913,-0.266,-33.284,-174.095,103.676
-0.095,-0.884,-0.242,-35.330,-173.496,103.068
-0.123,-0.856,-0.219,-37.598,-172.959,102.041
-0.148,-0.826,-0.193,-40.505,-172.180,100.373
-0.172,-0.795,-0.167,-44.317,-170.994,97.687
-0.193,-0.767,-0.140,-48.800,-169.278,93.795
-0.211,-0.745,-0.118,-52.389,-166.447,88.722
-0.222,-0.729,-0.097,-54.272,-163.346,83.025
-0.231,-0.720,-0.076,-54.583,-157.732,76.896
-0.242,-0.717,-0.059,-54.193,-147.948,70.562
-0.254,-0.720,-0.048,-52.551,-133.313,64.107
-0.266,-0.726,-0.039,-49.169,-118.468,57.946
-0.279,-0.733,-0.033,-44.436,-105.128,53.159
-0.293,-0.739,-0.032,-39.331,-94.335,49.608
-0.308,-0.744,-0.035,-33.901,-85.860,47.031
-0.324,-0.749,-0.041,-26.211,-79.052,45.282
-0.340,-0.751,-0.049,-19.894,-73.368,43.837
-0.355,-0.749,-0.057,-14.160,-68.445,42.429
-0.369,-0.743,-0.065,-9.781,-63.935,40.774
-0.384,-0.735,-0.073,-7.440,-59.710,38.452
-0.398,-0.726,-0.081,-6.341,-55.844,35.687
-0.412,-0.719,-0.087,-6.055,-52.489,32.669
-0.425,-0.714,-0.093,-6.186,-49.485,29.730
-0.437,-0.710,-0.098,-6.517,-46.701,27.131
-0.448,-0.708,-0.103,-6.791,-44.023,24.978
-0.457,-0.708,-0.106,-6.837,-41.600,23.371
-0.467,-0.708,-0.108,-6.582,-39.448,22.315
-0.476,-0.709,-0.109,-5.856,-37.592,21.925
-0.484,-0.710,-0.110,-4.819,-36.063,21.933
-0.493,-0.709,-0.110,-3.570,-35.051,22.164
-0.501,-0.707,-0.110,-2.288,-34.338,22.471
-0.509,-0.704,-0.110,-1.151,-33.818,22.740
-0.517,-0.700,-0.110,-0.305,-33.359,22.896
-0.523,-0.695,-0.110,0.203,-32.807,22.899
-0.530,-0.691,-0.110,0.405,-32.064,22.664
-0.536,-0.687,-0.111,0.372,-31.089,22.291
-0.541,-0.684,-0.112,0.264,-28.897,21.846
-0.547,-0.682,-0.114,0.101,-27.440,21.384
-0.553,-0.680,-0.117,-0.037,-25.881,20.929
-0.559,-0.679,-0.119,-0.151,-24.329,20.510
-0.565,-0.678,-0.123,-0.238,-22.837,20.167
-0.572,-0.677,-0.126,-0.273,-21.465,19.882
-0.579,-0.675,-0.129,-0.351,-20.202,19.613
-0.586,-0.672,-0.132,-0.544,-19.028,19.308
-0.592,-0.668,-0.135,-0.887,-17.942,18.899
-0.599,-0.664,-0.138,-1.375,-16.944,18.281
-0.605,-0.661,-0.141,-1.999,-16.044,17.539
-0.611,-0.658,-0.144,-2.666,-15.240,16.702
-0.617,-0.656,-0.146,-3.308,-14.556,15.861
-0.622,-0.654,-0.149,-3.851,-13.987,15.092
-0.627,-0.652,-0.150,-4.271,-13.510,14.434
-0.632,-0.651,-0.151,-4.542,-13.166,13.910
-0.636,-0.650,-0.151,-4.655,-12.930,13.501
-0.641,-0.648,-0.151,-4.599,-12.787,13.182
-0.645,-0.646,-0.150,-4.457,-12.696,12.904
-0.649,-0.644,-0.148,-4.254,-12.627,12.625
-0.653,-0.641,-0.147,-4.053,-12.527,12.277
-0.656,-0.639,-0.145,-3.902,-12.337,11.868
-0.659,-0.637,-0.145,-3.773,-11.987,11.380
-0.662,-0.636,-0.144,-3.656,-11.496,10.864
-0.665,-0.635,-0.145,-3.483,-10.896,10.319
-0.668,-0.635,-0.145,-3.264,-10.216,9.789
-0.671,-0.634,-0.146,-3.035,-9.446,9.291
-0.674,-0.634,-0.147,-2.793,-8.659,8.847
-0.678,-0.633,-0.148,-2.562,-7.902,8.434
-0.681,-0.633,-0.149,-2.346,-7.233,8.064
-0.685,-0.632,-0.150,-2.159,-6.647,7.728
-0.689,-0.631,-0.150,-2.062,-6.139,7.384
-0.693,-0.630,-0.150,-2.044,-5.708,7.045
-0.697,-0.628,-0.151,-2.097,-5.387,6.685
-0.701,-0.626,-0.150,-2.198,-5.162,6.295
-0.705,-0.624,-0.150,-2.351,-5.024,5.843
-0.708,-0.623,-0.149,-2.512,-4.972,5.354
-0.712,-0.621,-0.148,-2.652,-5.031,4.806
-0.716,-0.620,-0.146,-2.763,-5.127,4.224
-0.719,-0.619,-0.144,-2.735,-5.207,3.659
-0.722,-0.619,-0.142,-2.556,-5.242,3.164
-0.724,-0.619,-0.139,-2.200,-5.187,2.729
-0.728,-0.618,-0.136,-1.698,-5.043,2.345
-0.731,-0.617,-0.132,-1.100,-4.803,1.994
-0.735,-0.616,-0.128,-0.513,-4.481,1.646
-0.740,-0.613,-0.123,0.025,-4.119,1.251
-0.745,-0.610,-0.118,0.484,-3.747,0.720
-0.750,-0.607,-0.112,0.849,-3.382,0.052
-0.755,-0.603,-0.106,1.156,-2.933,-0.767

0.285,-1.064,-0.595,-7.312,-8.350,2.753
