
0.335,-0.913,0.762,-5.391,-10.006,-1.709
0.320,-0.916,0.745,-5.002,-9.537,-2.001
0.305,-0.917,0.732,-4.861,-9.079,-2.296
0.292,-0.918,0.722,-4.948,-8.656,-2.453
0.278,-0.919,0.712,-4.953,-8.268,-2.836
0.266,-0.920,0.704,-5.317,-7.843,-2.911
0.255,-0.923,0.693,-5.786,-7.379,-2.827
0.245,-0.928,0.681,-5.992,-6.891,-2.731
0.236,-0.933,0.668,-5.905,-6.378,-2.584
0.227,-0.937,0.656,-5.747,-5.855,-2.347
0.219,-0.941,0.644,-5.526,-5.373,-2.094
0.211,-0.942,0.633,-5.258,-4.943,-1.839
0.203,-0.943,0.622,-4.991,-4.557,-1.552
0.195,-0.944,0.611,-4.726,-4.203,-1.265
0.187,-0.943,0.600,-4.466,-3.898,-1.008
0.179,-0.943,0.590,-4.280,-3.645,-0.787
0.171,-0.941,0.581,-4.158,-3.451,-0.594
0.162,-0.940,0.573,-4.073,-3.326,-0.428
0.154,-0.938,0.566,-4.006,-3.249,-0.273
0.146,-0.937,0.559,-3.409,-3.205,-0.102
0.139,-0.937,0.552,-3.275,-3.194,0.061
0.131,-0.936,0.545,-3.073,-3.237,0.191
0.124,-0.935,0.538,-2.863,-3.297,0.336
0.117,-0.934,0.531,-2.615,-3.364,0.405
0.110,-0.932,0.525,-2.402,-3.446,0.469
0.103,-0.931,0.519,-2.225,-3.537,0.465
0.097,-0.930,0.513,-2.090,-3.637,0.482
0.091,-0.930,0.507,-1.997,-3.743,0.461
0.086,-0.930,0.500,-1.931,-3.858,0.379
0.080,-0.930,0.495,-1.893,-3.962,0.276
0.074,-0.930,0.489,-1.842,-4.047,0.152
0.069,-0.931,0.484,-1.796,-4.104,0.031
0.064,-0.931,0.479,-1.765,-4.154,-0.082
0.059,-0.932,0.475,-1.767,-4.195,-0.224
0.054,-0.932,0.471,-1.796,-4.225,-0.376
0.049,-0.932,0.467,-1.856,-4.252,-0.553
0.044,-0.933,0.463,-1.947,-4.281,-0.719
0.040,-0.934,0.460,-2.048,-4.303,-0.871
0.036,-0.935,0.456,-2.140,-4.314,-1.036
0.032,-0.936,0.451,-2.228,-4.310,-1.197
0.028,-0.937,0.447,-2.316,-4.293,-1.343
0.024,-0.938,0.443,-2.406,-4.260,-1.486
0.021,-0.940,0.439,-2.475,-4.202,-1.609
0.018,-0.941,0.435,-2.514,-4.132,-1.708
0.015,-0.942,0.432,-2.517,-4.060,-1.707
0.012,-0.944,0.428,-2.442,-3.958,-1.773
0.008,-0.944,0.425,-2.450,-3.891,-1.842
0.005,-0.944,0.422,-2.545,-3.825,-1.879
0.003,-0.945,0.419,-2.601,-3.748,-1.901
-0.000,-0.946,0.417,-2.626,-3.666,-1.877
-0.003,-0.946,0.414,-2.610,-3.564,-1.813
-0.006,-0.946,0.411,-2.544,-3.452,-1.757
-0.009,-0.946,0.408,-2.450,-3.345,-1.713
-0.012,-0.946,0.405,-2.355,-3.246,-1.673
-0.015,-0.946,0.403,-2.262,-3.153,-1.624
-0.017,-0.946,0.401,-2.146,-3.067,-1.580
-0.020,-0.946,0.398,-2.006,-2.985,-1.537
-0.023,-0.946,0.396,-1.855,-2.920,-1.509
-0.026,-0.947,0.394,-1.731,-2.856,-1.489
-0.029,-0.947,0.392,-1.633,-2.799,-1.486
-0.031,-0.948,0.390,-1.570,-2.754,-1.486
-0.034,-0.948,0.388,-1.526,-2.720,-1.497
-0.036,-0.948,0.386,-1.502,-2.684,-1.520
-0.038,-0.948,0.384,-1.501,-2.644,-1.532
-0.041,-0.948,0.381,-1.524,-2.593,-1.530
-0.043,-0.948,0.379,-1.547,-2.538,-1.519
-0.045,-0.948,0.377,-1.542,-2.473,-1.503
-0.046,-0.948,0.376,-1.530,-2.389,-1.479
-0.048,-0.948,0.374,-1.518,-2.304,-1.458
-0.050,-0.949,0.372,-1.514,-2.219,-1.451
-0.051,-0.949,0.370,-1.512,-2.132,-1.447
-0.053,-0.950,0.369,-1.506,-2.052,-1.438
-0.054,-0.950,0.367,-1.507,-1.980,-1.414
-0.055,-0.951,0.366,-1.535,-1.924,-1.390
-0.056,-0.951,0.365,-1.574,-1.875,-1.370
-0.057,-0.952,0.363,-1.627,-1.822,-1.346
-0.058,-0.952,0.362,-1.680,-1.761,-1.301
-0.059,-0.953,0.360,-1.731,-1.695,-1.259
-0.060,-0.953,0.359,-1.783,-1.631,-1.213
-0.061,-0.953,0.358,-1.846,-1.574,-1.166
-0.063,-0.953,0.356,-1.899,-1.518,-1.108
-0.064,-0.953,0.355,-1.925,-1.471,-1.054
-0.065,-0.953,0.354,-1.929,-1.427,-0.999
-0.066,-0.953,0.353,-1.908,-1.382,-0.941
-0.067,-0.952,0.353,-1.891,-1.359,-0.890
-0.068,-0.952,0.352,-1.877,-1.349,-0.852
-0.068,-0.952,0.351,-1.877,-1.362,-0.808
-0.069,-0.952,0.351,-1.885,-1.388,-0.766
-0.070,-0.952,0.350,-1.895,-1.447,-0.730
-0.070,-0.951,0.349,-1.909,-1.522,-0.701
-0.071,-0.951,0.349,-1.947,-1.626,-0.676
-0.072,-0.951,0.348,-1.996,-1.754,-0.654
-0.072,-0.951,0.348,-2.027,-1.909,-0.621
-0.072,-0.951,0.347,-2.054,-2.099,-0.601
-0.073,-0.951,0.347,-2.084,-2.319,-0.588
-0.073,-0.950,0.346,-2.151,-2.565,-0.571
-0.073,-0.950,0.345,-2.273,-2.822,-0.532
-0.073,-0.950,0.344,-2.417,-3.081,-0.497
-0.073,-0.949,0.343,-2.561,-3.336,-0.471
-0.073,-0.949,0.342,-2.666,-3.572,-0.463
-0.073,-0.950,0.341,-2.737,-3.779,-0.466
-0.073,-0.950,0.340,-2.793,-3.965,-0.471
-0.072,-0.950,0.339,-2.843,-4.151,-0.477

0.728,-1.062,0.980,-1.202,30.680,5.363
0.676,-1.037,1.050,0.233,34.424,9.490
0.629,-1.000,1.071,0.750,31.127,10.617
