aX,aY,aZ,gX,gY,gZ
0.628,-0.060,1.015,-5.938,-13.946,-14.061
0.627,-0.059,1.009,-5.862,-13.469,-13.655
0.627,-0.059,1.003,-5.767,-13.008,-13.268
0.626,-0.058,0.998,-5.655,-12.570,-12.894
0.626,-0.057,0.993,-5.540,-12.164,-12.526
0.625,-0.057,0.988,-5.439,-11.781,-12.180
0.624,-0.056,0.984,-5.362,-11.399,-11.846
0.623,-0.056,0.979,-5.298,-11.024,-11.535
0.623,-0.055,0.975,-5.259,-10.658,-11.236
0.622,-0.054,0.971,-5.234,-10.308,-10.948
0.621,-0.053,0.966,-5.222,-9.972,-10.678
0.621,-0.052,0.962,-5.231,-9.648,-10.426
0.620,-0.051,0.958,-5.257,-9.328,-10.192
0.620,-0.051,0.954,-5.279,-9.016,-9.969
0.619,-0.051,0.950,-5.297,-8.713,-9.752
0.618,-0.051,0.947,-5.289,-8.433,-9.533
0.618,-0.051,0.944,-5.268,-8.169,-9.315
0.617,-0.051,0.941,-5.249,-7.912,-9.107
0.617,-0.051,0.938,-5.237,-7.657,-8.900
0.616,-0.051,0.935,-5.229,-7.406,-8.685
0.616,-0.051,0.932,-5.203,-7.150,-8.463
0.616,-0.052,0.929,-5.166,-6.901,-8.233
0.616,-0.052,0.925,-5.119,-6.641,-8.000
0.616,-0.052,0.922,-5.062,-6.383,-7.754
0.615,-0.052,0.919,-5.012,-6.125,-7.508
0.615,-0.052,0.915,-4.963,-5.863,-7.267
0.615,-0.051,0.913,-4.925,-5.607,-7.030
0.615,-0.051,0.910,-4.922,-5.354,-6.802
0.615,-0.051,0.907,-4.932,-5.098,-6.584
0.614,-0.051,0.905,-4.966,-4.842,-6.379
0.614,-0.051,0.903,-5.007,-4.590,-6.185
0.614,-0.051,0.900,-5.058,-4.349,-5.989
0.613,-0.051,0.898,-5.103,-4.115,-5.799
0.613,-0.052,0.896,-5.140,-3.885,-5.612
0.613,-0.052,0.894,-5.168,-3.648,-5.421
0.613,-0.052,0.892,-5.183,-3.408,-5.227
0.613,-0.052,0.890,-5.197,-3.173,-5.027
0.612,-0.052,0.888,-5.211,-2.944,-4.818
0.612,-0.052,0.887,-5.241,-2.708,-4.597
0.612,-0.053,0.885,-5.262,-2.461,-4.375
0.612,-0.053,0.884,-5.286,-2.201,-4.150
0.612,-0.053,0.883,-5.320,-1.935,-3.922
0.612,-0.053,0.882,-5.357,-1.674,-3.689
0.612,-0.054,0.882,-5.419,-1.419,-3.458
0.612,-0.054,0.882,-5.504,-1.164,-3.230
0.612,-0.055,0.882,-5.591,-0.885,-3.001
0.612,-0.056,0.882,-5.676,-0.588,-2.760
0.612,-0.057,0.882,-5.755,-0.285,-2.508
0.612,-0.057,0.883,-5.833,0.042,-2.259
0.612,-0.058,0.883,-5.899,0.380,-2.011
0.612,-0.058,0.884,-5.976,0.737,-1.759
0.612,-0.058,0.884,-6.071,1.125,-1.497
0.612,-0.059,0.885,-6.174,1.535,-1.218
0.612,-0.059,0.885,-6.273,1.969,-0.916
0.612,-0.060,0.886,-6.365,2.428,-0.596
0.612,-0.060,0.887,-6.457,2.908,-0.262
0.612,-0.061,0.888,-6.563,3.396,0.082
0.611,-0.062,0.889,-6.677,3.893,0.432
0.611,-0.062,0.890,-6.790,4.395,0.801
0.610,-0.063,0.892,-6.897,4.910,1.186
0.610,-0.064,0.894,-6.998,5.443,1.588
0.610,-0.065,0.895,-7.079,6.008,2.003
0.609,-0.066,0.897,-7.147,6.595,2.428
0.609,-0.067,0.898,-7.197,7.211,2.866
0.608,-0.068,0.899,-7.223,7.852,3.295
0.608,-0.069,0.900,-7.214,8.528,3.732
0.607,-0.070,0.901,-7.187,9.241,4.181
0.606,-0.071,0.902,-7.157,9.976,4.641
0.605,-0.071,0.903,-7.126,10.724,5.095
